email,titulo,puntuacion,fecha,comentario
user1@ejemplo.com,Pelicula 45,1,2025-08-02,Comentario sobre Pelicula 45
user1@ejemplo.com,Pelicula 41,3,2026-07-25,Comentario sobre Pelicula 41
user1@ejemplo.com,Pelicula 97,4,2026-06-04,Comentario sobre Pelicula 97
user1@ejemplo.com,Pelicula 30,4,2026-10-13,Comentario sobre Pelicula 30
user1@ejemplo.com,Pelicula 80,1,2025-12-20,Comentario sobre Pelicula 80
user1@ejemplo.com,Pelicula 56,2,2025-08-26,Comentario sobre Pelicula 56
user1@ejemplo.com,Pelicula 147,2,2025-01-06,Comentario sobre Pelicula 147
user1@ejemplo.com,Pelicula 16,3,2023-12-28,Comentario sobre Pelicula 16
user2@ejemplo.com,Pelicula 166,3,2025-06-27,Comentario sobre Pelicula 166
user2@ejemplo.com,Pelicula 17,3,2024-02-23,Comentario sobre Pelicula 17
user2@ejemplo.com,Pelicula 74,3,2025-07-31,Comentario sobre Pelicula 74
user2@ejemplo.com,Pelicula 198,3,2026-04-17,Comentario sobre Pelicula 198
user2@ejemplo.com,Pelicula 40,5,2024-07-30,Comentario sobre Pelicula 40
user2@ejemplo.com,Pelicula 165,2,2024-11-22,Comentario sobre Pelicula 165
user2@ejemplo.com,Pelicula 27,2,2026-10-11,Comentario sobre Pelicula 27
user2@ejemplo.com,Pelicula 185,1,2024-04-25,Comentario sobre Pelicula 185
user2@ejemplo.com,Pelicula 130,5,2024-11-14,Comentario sobre Pelicula 130
user2@ejemplo.com,Pelicula 38,3,2023-07-15,Comentario sobre Pelicula 38
user3@ejemplo.com,Pelicula 152,5,2025-11-11,Comentario sobre Pelicula 152
user3@ejemplo.com,Pelicula 163,3,2023-10-02,Comentario sobre Pelicula 163
user3@ejemplo.com,Pelicula 35,1,2026-12-10,Comentario sobre Pelicula 35
user3@ejemplo.com,Pelicula 14,4,2024-05-23,Comentario sobre Pelicula 14
user3@ejemplo.com,Pelicula 91,2,2025-01-23,Comentario sobre Pelicula 91
user3@ejemplo.com,Pelicula 121,4,2025-12-23,Comentario sobre Pelicula 121
user3@ejemplo.com,Pelicula 107,2,2025-03-08,Comentario sobre Pelicula 107
