nombre,fechaNacimiento,nacionalidad
Director Gomez 1,1947-04-05,Colombia
Director Hernandez 2,1963-07-01,España
Director Rodriguez 3,1949-03-24,Colombia
Director Garcia 4,1958-09-05,Colombia
Director Hernandez 5,1959-06-28,España
Director Hernandez 6,1970-03-11,España
Director Rodriguez 7,1980-05-26,Chile
Director Gonzalez 8,1967-04-22,Peru
Director Gomez 9,1971-05-24,Peru
Director Rodriguez 10,1946-03-12,Guatemala
Director Lopez 11,1954-01-13,Colombia
Director Gomez 12,1974-01-14,Guatemala
Director Rodriguez 13,1967-10-26,Colombia
Director Garcia 14,1949-03-18,Mexico
Director Rodriguez 15,1959-11-24,Colombia
Director Gomez 16,1954-08-02,Guatemala
Director Perez 17,1967-10-21,Guatemala
Director Rodriguez 18,1945-03-06,Mexico
Director Gonzalez 19,1973-10-18,Colombia
Director Garcia 20,1954-07-21,Peru
Director Gomez 21,1969-03-05,España
Director Rodriguez 22,1952-09-08,Guatemala
Director Gonzalez 23,1942-08-23,España
Director Perez 24,1946-07-24,Chile
Director Garcia 25,1972-08-18,Peru
Director Gomez 26,1970-11-17,Argentina
Director Gomez 27,1948-06-23,España
Director Lopez 28,1958-12-26,Colombia
Director Garcia 29,1956-07-18,Colombia
Director Lopez 30,1947-11-18,España
Director Garcia 31,1962-10-03,España
Director Rodriguez 32,1956-11-05,Guatemala
Director Gomez 33,1964-06-21,Chile
Director Martinez 34,1954-01-04,España
Director Rodriguez 35,1970-03-29,Guatemala
Director Perez 36,1942-04-08,Guatemala
Director Garcia 37,1966-05-02,Mexico
Director Lopez 38,1951-11-24,Guatemala
Director Rodriguez 39,1955-06-23,Chile
Director Hernandez 40,1955-11-21,España
Director Martinez 41,1965-12-26,Chile
Director Rodriguez 42,1974-09-24,Guatemala
Director Lopez 43,1973-07-18,España
Director Hernandez 44,1944-07-02,Chile
Director Lopez 45,1967-07-20,Argentina
Director Garcia 46,1969-04-12,Mexico
Director Rodriguez 47,1968-08-22,Mexico
Director Gomez 48,1956-04-22,Guatemala
Director Hernandez 49,1950-10-15,Guatemala
Director Gomez 50,1975-06-26,Chile
